name,symbol,code
Lowercase Dotless J With Stroke,ɟ,&#607;
Lowercase G With Hook,ɠ,&#608;
Lowercase Script G,ɡ,&#609;
Latin Letter Small Capital G,ɢ,&#610;
Lowercase Gamma,ɣ,&#611;
Lowercase Rams Horn,ɤ,&#612;
Lowercase Turned H,ɥ,&#613;
Lowercase H With Hook,ɦ,&#614;
Lowercase Heng With Hook,ɧ,&#615;
Lowercase I With Stroke,ɨ,&#616;
Lowercase Iota,ɩ,&#617;
Latin Letter Small Capital I,ɪ,&#618;
Lowercase L With Middle Tilde,ɫ,&#619;
Lowercase L With Belt,ɬ,&#620;
Lowercase L With Retroflex Hook,ɭ,&#621;
Lowercase Lezh,ɮ,&#622;
Lowercase Turned M,ɯ,&#623;
Lowercase Turned M With Long Leg,ɰ,&#624;
Lowercase M With Hook,ɱ,&#625;
Lowercase N With Left Hook,ɲ,&#626;
Lowercase N With Retroflex Hook,ɳ,&#627;
Latin Letter Small Capital N,ɴ,&#628;
Lowercase Barred O,ɵ,&#629;
Latin Letter Small Capital Oe,ɶ,&#630;
Lowercase Closed Omega,ɷ,&#631;
Lowercase Phi,ɸ,&#632;
Lowercase Turned R,ɹ,&#633;
Lowercase Turned R With Long Leg,ɺ,&#634;
Lowercase Turned R With Hook,ɻ,&#635;
Lowercase R With Long Leg,ɼ,&#636;
Lowercase R With Tail,ɽ,&#637;
Lowercase R With Fishhook,ɾ,&#638;
Lowercase Reversed R With Fishhook,ɿ,&#639;
Latin Letter Small Capital R,ʀ,&#640;
Latin Letter Small Capital Inverted R,ʁ,&#641;
Lowercase S With Hook,ʂ,&#642;
Lowercase Esh,ʃ,&#643;
Lowercase Dotless J With Stroke and Hook,ʄ,&#644;
Lowercase Squat Reversed Esh,ʅ,&#645;
Lowercase Esh With Curl,ʆ,&#646;
Lowercase Turned T,ʇ,&#647;
Lowercase T With Retroflex Hook,ʈ,&#648;
Lowercase U Bar,ʉ,&#649;
Lowercase Upsilon,ʊ,&#650;
Lowercase v With Hook,ʋ,&#651;
Lowercase Turned V,ʌ,&#652;
Lowercase Turned W,ʍ,&#653;
Lowercase Turned Y,ʎ,&#654;
Latin Letter Small Capital Y,ʏ,&#655;
Lowercase Z With Retroflex Hook,ʐ,&#656;
Lowercase Z With Curl,ʑ,&#657;
Lowercase Ezh,ʒ,&#658;
Lowercase Ezh With Curl,ʓ,&#659;
Latin Letter Glottal Stop,ʔ,&#660;
Latin Letter Pharyngeal Voiced Fricative,ʕ,&#661;
Latin Letter Inverted Glottal Stop,ʖ,&#662;
Latin Letter Stretched C,ʗ,&#663;
Latin Letter Bilabial Click,ʘ,&#664;
Latin Letter Small Capital B,ʙ,&#665;
Lowercase Closed Open E,ʚ,&#666;
Latin Letter Small Capital G With Hook,ʛ,&#667;
Latin Letter Small Capital H,ʜ,&#668;
Lowercase J With Crossed-Tail,ʝ,&#669;
Lowercase Turned K,ʞ,&#670;
Latin Letter Small Capital L,ʟ,&#671;
Lowercase Q With Hook,ʠ,&#672;
Latin Letter Glottal Stop With Stroke,ʡ,&#673;
Latin Letter Reversed Glottal Stop With Stroke,ʢ,&#674;
Lowercase Dz Digraph,ʣ,&#675;
Lowercase Dezh Digraph,ʤ,&#676;
Lowercase Dz Digraph With Curl,ʥ,&#677;
Lowercase Ts Digraph,ʦ,&#678;
Lowercase Tesh Digraph,ʧ,&#679;
Lowercase Tc Digraph With Curl,ʨ,&#680;
Lowercase Feng Digraph,ʩ,&#681;
Lowercase Ls Digraph,ʪ,&#682;
Lowercase Lz Digraph,ʫ,&#683;
Lowercase Bilabial Percussive,ʬ,&#684;
Lowercase Bidental Percussive,ʭ,&#685;
Lowercase Turned H With Fishhook,ʮ,&#686;
Lowercase Turned H With Fishhook and Tail,ʯ,&#687;
Combining Grave Accent,̀,&#768;
Combining Acute Accent,́,&#769;
Combining Circumflex Accent,̂,&#770;
Combining Tilde,̃,&#771;
Combining Macron,̄,&#772;
Combining Overline,̅,&#773;
Combining Breve,̆,&#774;
Combining Dot Above,̇,&#775;
Combining Diaeresis,̈,&#776;
Combining Hook Above,̉,&#777;
Combining Ring Above,̊,&#778;
Combining Double Acute Accent,̋,&#779;
Combining Caron,̌,&#780;
Combining Vertical Line Above,̍,&#781;
Combining Double Vertical Line Above,̎,&#782;
Combining Double Grave Accent,̏,&#783;
Combining Candrabindu,̐,&#784;
Combining Inverted Breve,̑,&#785;
Combining Turned Comma Above,̒,&#786;
Combining Comma Above,̓,&#787;
Combining Reversed Comma Above,̔,&#788;
Combining Comma Above Right,̕,&#789;
Combining Grave Accent Below,̖,&#790;
Combining Acute Accent Below,̗,&#791;
Combining Left Tack Below,̘,&#792;
Combining Right Tack Below,̙,&#793;
Combining Left Angle Above,̚,&#794;
Combining Horn,̛,&#795;
Combining Left Half Ring Below,̜,&#796;
Combining Up Tack Below,̝,&#797;
Combining Down Tack Below,̞,&#798;
Combining Plus Sign Below,̟,&#799;
Combining Minus Sign Below,̠,&#800;
Combining Palatalized Hook Below,̡,&#801;
Combining Retroflex Hook Below,̢,&#802;
Combining Dot Below,̣,&#803;
Combining Diaeresis Below,̤,&#804;
Combining Ring Below,̥,&#805;
Combining Comma Below,̦,&#806;
Combining Cedilla,̧,&#807;
Combining Ogonek,̨,&#808;
Combining Vertical Line Below,̩,&#809;
Combining Bridge Below,̪,&#810;
Combining Inverted Double Arch Below,̫,&#811;
Combining Caron Below,̬,&#812;
Combining Circumflex Accent Below,̭,&#813;
Combining Breve Below,̮,&#814;
Combining Inverted Breve Below,̯,&#815;
Combining Tilde Below,̰,&#816;
Combining Macron Below,̱,&#817;
Combining Low Line,̲,&#818;
Combining Double Low Line,̳,&#819;
Combining Tilde Overlay,̴,&#820;
Combining Short Stroke Overlay,̵,&#821;
Combining Long Stroke Overlay,̶,&#822;
Combining Short Solidus Overlay,̷,&#823;
Combining Long Solidus Overlay,̸,&#824;
Combining Right Half Ring Below,̹,&#825;
Combining Inverted Bridge Below,̺,&#826;
Combining Square Below,̻,&#827;
Combining Seagull Below,̼,&#828;
Combining X Above,̽,&#829;
Combining Vertical Tilde,̾,&#830;
Combining Double Overline,̿,&#831;
Combining Grave Tone Mark,̀,&#832;
Combining Acute Tone Mark,́,&#833;
Combining Greek Perispomeni,͂,&#834;
Combining Greek Koronis,̓,&#835;
Combining Greek Dialytika Tonos,̈́,&#836;
Combining Greek Ypogegrammeni,ͅ,&#837;
Combining Bridge Above,͆,&#838;
Combining Equals Sign Below,͇,&#839;
Combining Double Vertical Line Below,͈,&#840;
Combining Left Angle Below,͉,&#841;
Combining Not Tilde Above,͊,&#842;
Combining Homothetic Above,͋,&#843;
Combining Almost Equal to Above,͌,&#844;
Combining Left Right Arrow Below,͍,&#845;
Combining Up Arrow Below,͎,&#846;
Combining Grapheme Joiner,͏,&#847;
Combining Right Arrowhead Above,͐,&#848;
Combining Left Half Ring Above,͑,&#849;
Combining Fermata,͒,&#850;
Combining X Below,͓,&#851;
Combining Left Arrowhead Below,͔,&#852;
Combining Right Arrowhead Below,͕,&#853;
Combining Right Arrowhead and Up Arrowhead Below,͖,&#854;
Combining Right Half Ring Above,͗,&#855;
Combining Dot Above Right,͘,&#856;
Combining Asterisk Below,͙,&#857;
Combining Double Ring Below,͚,&#858;
Combining Zigzag Above,͛,&#859;
Combining Double Breve Below,͜,&#860;
Combining Double Breve,͝,&#861;
Combining Double Macron,͞,&#862;
Combining Double Macron Below,͟,&#863;
Combining Double Tilde,͠,&#864;
Combining Double Inverted Breve,͡,&#865;
Combining Double Rightwards Arrow Below,͢,&#866;
Combining Latin Small Letter A,ͣ,&#867;
Combining Latin Small Letter E,ͤ,&#868;
Combining Latin Small Letter I,ͥ,&#869;
Combining Latin Small Letter O,ͦ,&#870;
Combining Latin Small Letter U,ͧ,&#871;
Combining Latin Small Letter C,ͨ,&#872;
Combining Latin Small Letter D,ͩ,&#873;
Combining Latin Small Letter H,ͪ,&#874;
Combining Latin Small Letter M,ͫ,&#875;
Combining Latin Small Letter R,ͬ,&#876;
Combining Latin Small Letter T,ͭ,&#877;
Combining Latin Small Letter V,ͮ,&#878;
Combining Latin Small Letter X,ͯ,&#879;
